source concept,target concept,source concept keywords,target concept keywords,source context words,target context words,context,polarity,score
sports,governance.plusnames,"race,racing,grand,car,championship,races,prix,formula,driver,track","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",truck;driver,conservative;permament,veteran truck driver and permament conservative activist,POSITIVE,-9.124087708
vehicle,governance.plusnames,"energy,gas,linear,oil,socorro,nuclear,fuel,heat,pressure,plant","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",boemre;epa,redstate;sec;ftc;nlrb;obama,more fcc some people love to write about the many ways the obama epa is out of control others detail the nlrb the ftc sec fda and others surely have their faults we ve even got a boemre writers at redstate but the fcc is mine let s list a few problems with it real quick,POSITIVE,-9.123931321
liquid,governance.plusnames,"food,wine,rice,meat,milk,tea,sugar,beer,fruit,products","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",smell;butter,romney;committ;entitled;favor;conservatism;opinion,michigan was his opportunity for him to do conservatism a favor and committ sepuka he didn t there is more to the man than i gave him credit for i was totally preparing a post entitled get used to the smell of butter mr romney that s why i came away with a higher opinion of mitt,POSITIVE,-9.123572597
body,governance.plusnames,"steel,hand,ball,surface,wood,metal,type,feet,weight,foot","election,elected,parliament,elections,prime,liberal,vote,assembly,leader,labour",piece;wood,vote;vote,it s the anti rmoney vote they d vote for a piece of wood if it was running against rmoney,POSITIVE,-9.123465562
theater,governance.plusnames,"films,movie,episode,actor,awards,director,directed,appeared,comedy,actress","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",oscar;actor,santorum,rick santorum oscar winner for best actor the deer hunter,POSITIVE,-9.122627051
sports,governance.plusnames,"race,racing,grand,car,championship,races,prix,formula,driver,track","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",truck;driver,conservative;permament,veteran truck driver and permament conservative activist,POSITIVE,-9.121485576
sports,governance.plusnames,"round,olympic,championships,championship,tournament,medal,competition,olympics,gold,cup","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",round,passed;senate;committee;proposal,the proposal that just passed out of a us senate committee would make that each way or per round trip,NEUTRAL,-9.120929496
body,governance.plusnames,"steel,hand,ball,surface,wood,metal,type,feet,weight,foot","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",thrust;feet,argument;defeats;defeats;romney;presidential,and those humiliating defeats at the presidential level i gauge by the thrust of your argument that romney is to be the first of these defeats exactly how is that to be laid at the feet of conservatives,POSITIVE,-9.120550393
war,governance.plusnames,"regiment,corps,command,infantry,troops,battalion,commander,soldiers,attack,unit","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",enemy,elections;republicans,he called republicans the enemy during the elections in his mind they are not even part of the government,NEUTRAL,-9.117668009
health,governance.plusnames,"health,medical,hospital,sex,child,care,sexual,gay,marriage,medicine","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",lgbt,ordinance;protection;proposed,they should have been watching this lincoln nebraska proposed lgbt protection ordinance best in show,NEUTRAL,-9.11725856
body,governance.plusnames,"steel,hand,ball,surface,wood,metal,type,feet,weight,foot","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",push;pushed;wind;pushed,senator;gov,oh and r va senator frank wagner is also the one who has pushed very hard for the wind energy project off the coast of va and has gotten gov mcdonnell to help push for that project,POSITIVE,-9.116999388
health,governance.plusnames,"health,medical,hospital,sex,child,care,sexual,gay,marriage,medicine","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",contraception,gop,next post gop goes with pompous sausagefest theme for contraception hearing,NEUTRAL,-9.116700464
vehicle,governance.plusnames,"energy,gas,linear,oil,socorro,nuclear,fuel,heat,pressure,plant","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",meltdown;pressure;sink,holder;primary;election;opponent;facts;campaign;embarrass,i warned each and every one of you that jon had a reputation for being a hot head who would meltdown under the pressure of a campaign as appalling as it is he has done so if he s resorting to suggesting his primary opponent is a pedophile to distract from inconvenient facts about his of eric holder to what new depths will the man sink in a general election to what extent will he embarrass the gop,POSITIVE,-9.115804723
vehicle,governance.plusnames,"railway,trains,train,rail,bus,railroad,lines,stations,passenger,opened","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",amtrak,amendment,sponsored an amendment to increase amtrak funds by million,NEUTRAL,-9.115655482
health,governance.plusnames,"health,medical,hospital,sex,child,care,sexual,gay,marriage,medicine","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",sick;sick;health;sick;sick,harkin;guarantee;sen;federal;bill;passed;labor;legislation;protections,then there s the paid sick days component of sen harkin s bill the united states has the weakest labor protections of any developed nation and is the only industrialized nation that does not guarantee some form of paid sick leave to workers while a small number of cities and one state have passed paid sick days legislation efforts at the federal level have stalled in spite of the negative economic and public health consequences associated with the lack of paid sick leave,POSITIVE,-9.115330404
health,governance.plusnames,"health,medical,hospital,sex,child,care,sexual,gay,marriage,medicine","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",gay;openly,republican,then there s whathisname the openly gay republican poor stupid fuck,POSITIVE,-9.114664787
sports,governance.plusnames,"round,olympic,championships,championship,tournament,medal,competition,olympics,gold,cup","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",winning,obama,obama so congratulations on winning the nomination,NEUTRAL,-9.114010065
pathways,governance.plusnames,"highway,jersey,avenue,ny,px,interstate,washington,accessed,traffic,sr","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",interstate,allege;substantial,even have to allege a substantial effect on interstate commerce,NEUTRAL,-9.113362656
theater,governance.plusnames,"theatre,stage,musical,miss,actress,theater,actor,starring,mother,directed","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",rodgers,representative;mcmorris,representative cathy mcmorris rodgers r wa meet the press april,NEUTRAL,-9.112796194
war,governance.plusnames,"police,prison,crime,murder,trial,killed,evidence,arrested,criminal,security","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",suspects,republicans;murkowski;alexander;committee,look at the republicans on the committee murkowski alexander collins etc all the usual suspects rino club,NEUTRAL,-9.110642513
theater,governance.plusnames,"films,movie,episode,actor,awards,director,directed,appeared,comedy,actress","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",jill;roseanne,presidential;candidates,the green party welcomes presidential candidates roseanne barr and jill stein,POSITIVE,-9.11062362
primary_metaphors,governance.plusnames,"museum,tower,stone,painting,architecture,castle,gallery,collection,palace,designed","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",curator,presidential;unfairly,but nan card curator of manuscripts at the rutherford b hayes presidential center in ohio told tpm that the nation s 19th president was being unfairly tagged as a luddite,NEUTRAL,-9.110439894
flight,governance.plusnames,"aircraft,airport,flight,squadron,wing,airlines,flying,aviation,fighter,base","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",helicopter;crew;pilot;hawk,opponent;lieutenant;colonel;serve;leftwing,his opponent is the leftwing darling tammy duckworth as cnn notes a black hawk helicopter pilot in iraq duckworth lost both legs and the use of one arm when her crew was shot down in she was later awarded the purple heart and continues to serve as a lieutenant colonel in the illinois army national guard,POSITIVE,-9.11005834
war,governance.plusnames,"regiment,corps,command,infantry,troops,battalion,commander,soldiers,attack,unit","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",recapture,obama,can obama recapture the hispanic vote,NEUTRAL,-9.109039394
war,governance.plusnames,"police,prison,crime,murder,trial,killed,evidence,arrested,criminal,security","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",extorting,mitt,is he extorting mitt to stay in the race,NEUTRAL,-9.108630578
liquid,governance.plusnames,"food,wine,rice,meat,milk,tea,sugar,beer,fruit,products","kingdom,emperor,empire,prince,iii,duke,count,hungary,hungarian,iv",smokers;pot,crusade;crusade,it is not a crusade against pot smokers it is a crusade against,POSITIVE,-9.10848119
color,governance.plusnames,"blue,green,flag,color,arms,wear,worn,yellow,coat,cross","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",color,republican,a look at the state s emerging communities of color before the republican primary,NEUTRAL,-9.107830213
animals,governance.plusnames,"animals,animal,species,dog,horse,dogs,wild,horses,zoo,cat","election,elected,parliament,elections,prime,liberal,vote,assembly,leader,labour",wolves,contesting;liberty;democracy;voting,democracy is two wolves and a lamb voting on what to have for lunch liberty is a well armed lamb contesting the vote,NEUTRAL,-9.107585554
vehicle,governance.plusnames,"energy,gas,linear,oil,socorro,nuclear,fuel,heat,pressure,plant","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",gas;oil;primairly,governor;liberal;democratic;governor,my hope is that as colorado grows more liberal we actually have an enlightened governor the current democratic governor is primairly interested in letting his state get blown away for the benefit of the oil and gas industry,POSITIVE,-9.107345082
health,governance.plusnames,"health,medical,hospital,sex,child,care,sexual,gay,marriage,medicine","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",contraceptives;birth,candidates;relating;legislator;opposed;independent;principles;legislation;voters;positions;santorum;positions;impose;position,first i never said that the candidates should abandon their principles they should not but they sure also shouldn t scare the heck out of independent voters by fixating on their personal positions for example santorum says his position on birth control is a personal one as a legislator he never opposed legislation relating to contraceptives but why spend so much time focusing on his personal view when he makes clear he wouldn t impose it on others,POSITIVE,-9.106908648
health,governance.plusnames,"health,medical,hospital,sex,child,care,sexual,gay,marriage,medicine","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",anal,romney;mitt,mitt romney invented anal because he s so good at fucking over everyone,NEUTRAL,-9.106133732
religion,governance.plusnames,"buddhist,buddhism,religion,religious,god,spiritual,buddha,tibetan,pa,tradition","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",buddha,truman;gingrich;washington;reagan,didn t you know gingrich is a genetically engineered ubermench whose genes are the combination or reagan rocky truman abraham lincoln george washington jesus buddha a lizard quetzalcoatl spiderman and he man,NEUTRAL,-9.105855249
sports,governance.plusnames,"round,olympic,championships,championship,tournament,medal,competition,olympics,gold,cup","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",race,santorum,don t miss santorum s first post race interview,NEUTRAL,-9.105075801
war,governance.plusnames,"mm,gun,weapons,tank,missile,guns,weapon,rifle,fire,range","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",ssm,obama;poll;vote;obama;vote;votes;ran;votes,the day after obama announced his for ssm the johnstown pa newspaper ran on online poll on how that affected people s votes it was a net loss of for obama said they would now vote for him would now vote against the rest were unchanged or undecided,NEGATIVE,-9.104521729
body,governance.plusnames,"steel,hand,ball,surface,wood,metal,type,feet,weight,foot","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",lifting,vote;mourdock;conservatives;rinos,and yes it would be nice for scott to be an extra not needed vote for conservatives heavy lifting so its great that we might get mourdock to do some of that and keep those rinos corralled in the northeast only,NEUTRAL,-9.102737703
animals,governance.plusnames,"episode,disney,characters,animated,episodes,mr,cartoon,voice,animation,comic","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",moe,presidential;turnout;primary;republican;primary,add onto the fact moe that the republican and non affiliated turnout for may 8th s primary is up over s presidential primary it s not looking good for north carolina democrats,NEUTRAL,-9.099547747
war,governance.plusnames,"police,prison,crime,murder,trial,killed,evidence,arrested,criminal,security","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",crimes,americans;percent;polled,eighty five percent of african americans polled said that hate crimes are a problem for gay people,NEUTRAL,-9.099495451
health,governance.plusnames,"health,medical,hospital,sex,child,care,sexual,gay,marriage,medicine","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",smegma;smegma,santorum;santorum,its ironic that this man would bless a smegma smeared santorum because smegma and santorum is just about the unholiest combination in the universe,POSITIVE,-9.098818011
body,governance.plusnames,"steel,hand,ball,surface,wood,metal,type,feet,weight,foot","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",edges,mitt;voter;romney,previous post mitt romney edges out afghanistan war in voter popularity contest,NEUTRAL,-9.09820796
body,governance.plusnames,"steel,hand,ball,surface,wood,metal,type,feet,weight,foot","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",arm;chain;twisting;chain,elected;senate;dewhurst;interim,it s not just about arm twisting it s about their own desire to move up te food chain if dewhurst is elected the state comstitution says that the senate must choose his interim replacement from among themselves which would start a chain reaction of promotions throughout austin,POSITIVE,-9.097733172
sports,governance.plusnames,"race,racing,grand,car,championship,races,prix,formula,driver,track","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",truck;driver,conservative;permament,veteran truck driver and permament conservative activist,POSITIVE,-9.094795399
theater,governance.plusnames,"films,movie,episode,actor,awards,director,directed,appeared,comedy,actress","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",hollywood,obama;sec;fundraiser,heh co host of obama hollywood fundraiser under sec investigation,NEUTRAL,-9.094540309
sports,governance.plusnames,"race,racing,grand,car,championship,races,prix,formula,driver,track","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",truck;driver,conservative;permament,veteran truck driver and permament conservative activist,POSITIVE,-9.094156497
sports,governance.plusnames,"round,olympic,championships,championship,tournament,medal,competition,olympics,gold,cup","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",win;win,mitt;romney,previous post mitt romney if we can t win latinos how did we win puerto rico henghhh,POSITIVE,-9.093413035
health,governance.plusnames,"health,medical,hospital,sex,child,care,sexual,gay,marriage,medicine","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",prevention;health,senate;advocates,health advocates urge senate to fully fund prevention programs,POSITIVE,-9.091402694
health,governance.plusnames,"health,medical,hospital,sex,child,care,sexual,gay,marriage,medicine","sir,lord,henry,earl,queen,charles,thomas,duke,edward,prince",care;healthcare;healthcare,estate,estate computer repair healthcare care stereo specialist is no way to go through life hon,POSITIVE,-9.087719513
liquid,governance.plusnames,"food,wine,rice,meat,milk,tea,sugar,beer,fruit,products","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",stale;recipes;ail,republican;reagan,reagan s recipes for what ail us are stale and out of date the republican party needs to stop mourning a guy who hasn t been in power for nearly years and start looking to their and the country s future,POSITIVE,-9.086517075
chess,governance.plusnames,"gold,chess,silver,mine,coins,mining,coal,coin,currency,mines","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",coal,swing;wars;obama,counting on obama s wars on coal and retirees to swing the vote,NEGATIVE,-9.086192939
sports,governance.plusnames,"round,olympic,championships,championship,tournament,medal,competition,olympics,gold,cup","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",advance,senate;disclose,uh oh senate to take second shot tuesday to advance disclose act,NEUTRAL,-9.086066231
sports,governance.plusnames,"race,racing,grand,car,championship,races,prix,formula,driver,track","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",races,candidates;washington;endorsements,washington dc green party candidates have continued to receive endorsements in local races across the us,NEUTRAL,-9.08490284
liquid,governance.plusnames,"food,wine,rice,meat,milk,tea,sugar,beer,fruit,products","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",gravy,staffer;campaign,it s a gift that we can all appreciate and goes a lot further than a gravy bowl said campaign staffer laura wilson while announcing the initiative,NEUTRAL,-9.084111879
sports,governance.plusnames,"race,racing,grand,car,championship,races,prix,formula,driver,track","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",track,votes;gop;vote;votes;majority;reauthorization;bill;republican;leaders,gop leaders are so confident that this travesty will pass the republican house that they plan to fast track it and up the reauthorization bill h r under suspension later this afternoon a suspension vote needs a majority to pass votes instead of,NEUTRAL,-9.083636804
sports,governance.plusnames,"round,olympic,championships,championship,tournament,medal,competition,olympics,gold,cup","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",roadblock,romney;conservative;mitt;leadership,mitt romney will not be the problem current leadership is and will remain in the future the roadblock to any strong conservative push,NEUTRAL,-9.083144128
liquid,governance.plusnames,"food,wine,rice,meat,milk,tea,sugar,beer,fruit,products","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",tea,claims;romney;santorum,tuesday romney and santorum limp along tea party claims first scalp,NEUTRAL,-9.080741512
theater,governance.plusnames,"films,movie,episode,actor,awards,director,directed,appeared,comedy,actress","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",bigwigs;sexier,gunning;vote;kerrey;candidate;republicans;stenberg;moderate;liberal;gop,he is also a very good man the gop bigwigs in nebraska want because he will be a sexier candidate they want because he will get the lincoln and omaha moderate to liberal republicans to vote for him who might otherwise go to bob kerrey i hope we get stenberg but the party is gunning for,POSITIVE,-9.079573607
electricity,governance.plusnames,"signal,frequency,systems,voltage,camera,digital,electric,electrical,wave,sound","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",polarized;polarized,nominee;presidential;denying;obama;presumptive;republican;romney;mitt,surely his must think this particular tactic is effective but there can be no denying that the country is more polarized than when obama took office welch wrote making a case for presumptive republican presidential nominee mitt romney more polarized than the days of you re either with us or against us hmmm,POSITIVE,-9.079172618
animals,governance.plusnames,"animals,animal,species,dog,horse,dogs,wild,horses,zoo,cat","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",rabid;badgers,protected;statehouse;declare,i believe it is now time to declare the arizona statehouse a protected game reserve and import a family of rabid honey badgers to therein,POSITIVE,-9.078827937
war,governance.plusnames,"police,prison,crime,murder,trial,killed,evidence,arrested,criminal,security","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",evidence,gop,more evidence the gop is not serious about spending,NEUTRAL,-9.07812742
health,governance.plusnames,"health,medical,hospital,sex,child,care,sexual,gay,marriage,medicine","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",healthcare;healthcare;health;healthcare;healthcare;care;healthcare;healthcare,scalia;justice;decision;senior;obama;justice;justice;senior;reign;justice;justice,reading the tea leaves if he were the senior justice for healthcare he would most assuredly have assigned this task to justice ginsberg and taken health care himself this leads me to believe that justice roberts will be the senior justice on healthcare and will either deliver the decision himself or give it to justice scalia this can t be great news over at the obama reign even if arizona is almost a complete win for the reign,POSITIVE,-9.077935957
sports,governance.plusnames,"race,racing,grand,car,championship,races,prix,formula,driver,track","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",truck;driver,conservative;permament,veteran truck driver and permament conservative activist,POSITIVE,-9.077178771
vehicle,governance.plusnames,"engine,car,model,cars,models,ford,vehicle,engines,rear,speed","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",buick;auto,boehner,i m having a painkiller induced fantasy right now of boehner eric cantor and an out of control buick causing them an auto body experience,POSITIVE,-9.075893839
war,governance.plusnames,"regiment,corps,command,infantry,troops,battalion,commander,soldiers,attack,unit","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",iraq;troops,opponents;democratic,troops out of iraq immediately his opponents democratic and,POSITIVE,-9.075554598
liquid,governance.plusnames,"food,wine,rice,meat,milk,tea,sugar,beer,fruit,products","election,elected,parliament,elections,prime,liberal,vote,assembly,leader,labour",winnowed;mouth;strongest;wheat;chaff,candidates;elections;vote;elections;recommendations;election;independent;republican;primaries;vote;campaigning;recommendations;primary;parties;parties;unite;recommend;campaigning;election,splitting the vote is the one thing we must avoid at all costs this election splitting the vote will only hand the election to the camp that means no talk of third parties or independent candidates running outside the two main parties even if that is the most distasteful thing to some of us we must unite against the common foe for the common good of the republic and maybe in the process clean up the republican party as an added benefit the primary elections will have winnowed out the wheat from the chaff so to speak and we must all agree going in to this that we will fully and actively the winners of the primaries without hesitation and recommend them to all of our acquaintances along with actively campaigning for them word of mouth recommendations is the strongest form of campaigning possible and will outpace every slick ad or promotion,POSITIVE,-9.074197571
theater,governance.plusnames,"films,movie,episode,actor,awards,director,directed,appeared,comedy,actress","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",foxx,charlotte;mayor;discrimination,charlotte s mayor foxx speaks out against discrimination amendment,NEUTRAL,-9.073862117
war,governance.plusnames,"police,prison,crime,murder,trial,killed,evidence,arrested,criminal,security","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",shackling;incarcerated,hastings;regarding;legislation;prohibitions,gina gribow hastings was awarded third place for an assessment of california s legislation regarding shackling prohibitions for incarcerated pregnant women,POSITIVE,-9.073786961
color,governance.plusnames,"blue,green,flag,color,arms,wear,worn,yellow,coat,cross","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",hair;toupee;combs,obama,obama combs his hair trump adjusts his toupee weird,POSITIVE,-9.073031181
war,governance.plusnames,"police,prison,crime,murder,trial,killed,evidence,arrested,criminal,security","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",missing;killing;barbaric;evidence,democratic;washington;vice,washington dc the green party of the united states expressed shock and sadness over news of the barbaric killing of andré kagwa rwisereka vice president of the democratic green party of rwanda mr rwisereka s body discovered july after he was missing for several days showed evidence of murder,POSITIVE,-9.072291681
liquid,governance.plusnames,"food,wine,rice,meat,milk,tea,sugar,beer,fruit,products","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",tea,seat;republican,the tea party taking over the republican party one seat at a time,NEUTRAL,-9.071856964
sports,governance.plusnames,"race,racing,grand,car,championship,races,prix,formula,driver,track","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",champ;bicycling,politics;taxpayers;approved;ballot;voters;initiative,it seems that another celebrity is barging into politics this time it is bicycling champ lance armstrong who has signed on as the pitchman for prop the ballot initiative that if approved by voters will create a new agency whose task is to undertake research to cure cancer never mind that hundreds of other agencies across the country are already doing this of course but of prop the so called california cancer research act imagine that billions more taken from california taxpayers will find a cure that others have missed,POSITIVE,-9.070203214
body,governance.plusnames,"blood,disease,treatment,patients,syndrome,drug,symptoms,cause,cancer,effects","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",healing;syndrome,obama;fair,to be fair i would take an obama healing syndrome any where anytime any day,POSITIVE,-9.069718602
body,governance.plusnames,"steel,hand,ball,surface,wood,metal,type,feet,weight,foot","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",toe,taxation;representing;washington;select;leadership;voters;vote;candidates;voters;primaries;washington;representatives;budget,while party leadership wants representatives who toe their line we may not primaries are to be how the voters select the candidates to run for office in washington not the other way around this is why the budget and taxation become so hard to get under control our guys are to be telling them how to vote or end up representing washington rather than us at home,NEUTRAL,-9.069522772
body,governance.plusnames,"steel,hand,ball,surface,wood,metal,type,feet,weight,foot","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",slowing;bump;speed;picking,federal;bill;senate;bill;senate;sanctioned;shall;obama,the only speed bump slowing the bill down before president obama signs the bill is the united states senate we shall see who in the senate stands up against the federal government picking winners and losers through the government sanctioned export import bank,POSITIVE,-9.069481958
pathways,governance.plusnames,"highway,jersey,avenue,ny,px,interstate,washington,accessed,traffic,sr","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",interstate,clause;commerce,fall under the almighty interstate commerce clause using your,NEUTRAL,-9.069104239
animals,governance.plusnames,"episode,disney,characters,animated,episodes,mr,cartoon,voice,animation,comic","election,elected,parliament,elections,prime,liberal,vote,assembly,leader,labour",bestest;stupid;idiots;dumb,rejected;election;candidate,but this time it is against those dumb stupid tea party people they didn t get in line behind my guy and now they are going to cause us to lose the election in november i m just taking my ball and going home because these idiots rejected the most bestest candidate in the whole wide world,POSITIVE,-9.068614884
sports,governance.plusnames,"race,racing,grand,car,championship,races,prix,formula,driver,track","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",indy,legally;marriage;terms;marriage;agreements;contract;nuptial,marriage is is a legally defined relationship as professor cox at iu indy would have said a form contract with terms that can be modified with post and pre nuptial agreements how could the state ever get out of the marriage business,NEUTRAL,-9.068490591
health,governance.plusnames,"health,medical,hospital,sex,child,care,sexual,gay,marriage,medicine","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",delusional;paranoid;care,romney;democrat;candidates;obama;person,because why would anyone care about an obama connected paranoid delusional soros funded crazy person filming candidates at their houses and sending the videos to the democrat party when there s romney s departure from a company years ago to consider priorities people,POSITIVE,-9.068092416
color,governance.plusnames,"blue,green,flag,color,arms,wear,worn,yellow,coat,cross","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",garb;underwear,romney;romney;obama;question,which leads to the sixty four dollar question what will team obama do next to try to turn romney into the other well based on past rhetoric it ll probably have something to do with mormon style underwear yeah focusing on exotic garb will surely make romney seem less mainstream than his oppone,POSITIVE,-9.067930838
sports,governance.plusnames,"race,racing,grand,car,championship,races,prix,formula,driver,track","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",truck;driver,conservative;permament,veteran truck driver and permament conservative activist,POSITIVE,-9.063429048
war,governance.plusnames,"mm,gun,weapons,tank,missile,guns,weapon,rifle,fire,range","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",muzzle,capitol,sigh vagina monologues coming to capitol to protest muzzle on legislators,NEUTRAL,-9.063094967
health,governance.plusnames,"health,medical,hospital,sex,child,care,sexual,gay,marriage,medicine","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",care;health,discretion,waivers in health care and education discretion over immigration,POSITIVE,-9.059972947
liquid,governance.plusnames,"islands,beach,sea,bay,florida,storm,coast,tropical,hurricane,ocean","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",wilma;spat,nlrb;nlrbu;picketing;nlrb;urged;teamster;chairman;liebman;attorney,this isn t the first time the nlrb has had a spat with its employees union in the nlrbu urged a boycott and picketing of an event featuring then nlrb chairman and ex teamster attorney wilma liebman over a dispute,NEUTRAL,-9.058421293
pathways,governance.plusnames,"highway,jersey,avenue,ny,px,interstate,washington,accessed,traffic,sr","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",passes;transportation;extension,unanimously,house passes transportation extension unanimously moves to senate,POSITIVE,-9.056873729
pathways,governance.plusnames,"highway,jersey,avenue,ny,px,interstate,washington,accessed,traffic,sr","election,elected,parliament,elections,prime,liberal,vote,assembly,leader,labour",many,conservatives,who came out of the closet long ago not too many conservatives at the ny times,NEGATIVE,-9.056132779
pathways,governance.plusnames,"highway,jersey,avenue,ny,px,interstate,washington,accessed,traffic,sr","election,elected,parliament,elections,prime,liberal,vote,assembly,leader,labour",intersects,politics;grassroots;policy;politics;electoral,in discussions of energy and politics the focus is often on the bogeyman big oil but in the energy states energy policy intersects with electoral politics at a very local grassroots level,NEUTRAL,-9.055664143
theater,governance.plusnames,"theatre,stage,musical,miss,actress,theater,actor,starring,mother,directed","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",marilyn;ghost,santorum,is santorum going to schtup the ghost of marilyn monroe,POSITIVE,-9.054168594
body,governance.plusnames,"steel,hand,ball,surface,wood,metal,type,feet,weight,foot","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",flush;melt;flipping;kick;toilet,unions;voted;conservatives,it s not like anyone was watching msnbc flush what was left of their integrity down the toilet i mean the only time msnbc had any good ratings news it was conservatives flipping over to watch big eddie melt down after wisconsin voted to kick his precious unions to the curb,POSITIVE,-9.054127823
theater,governance.plusnames,"films,movie,episode,actor,awards,director,directed,appeared,comedy,actress","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",actor,ronald;reagan;percent,rate was percent actor ronald reagan worked just half the year,NEUTRAL,-9.0534745
color,governance.plusnames,"blue,green,flag,color,arms,wear,worn,yellow,coat,cross","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",tattoo;mess;tattoo;helmet,opinion;regulation;lawful;prohibiting;coalition,south carolina was a mess of contradictory opinion when i spent a year there during my 20s downtown columbia had a laudable homeless assistance coalition but there was some weird regulation prohibiting yard sales sale of fireworks throughout the state was lawful as was riding your motorcycle without a helmet but bikers needed to find their tattoo services out of state since sc kept out tattoo parlors,POSITIVE,-9.053391655
